00000000777000000.mp4,Segment1,Frame:4350,Time:367.7s,TotalBoxes:47,S:3,M:42,L:0
00000000777000000.mp4,Segment1,Frame:4380,Time:370.2s,TotalBoxes:47,S:3,M:42,L:0
00000000777000000.mp4,Segment1,Frame:4410,Time:372.7s,TotalBoxes:47,S:3,M:42,L:0
00000000777000000.mp4,Segment1,Frame:4440,Time:375.3s,TotalBoxes:49,S:3,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4470,Time:377.8s,TotalBoxes:49,S:3,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4500,Time:380.3s,TotalBoxes:49,S:3,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4530,Time:382.8s,TotalBoxes:49,S:3,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4560,Time:385.3s,TotalBoxes:50,S:4,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4590,Time:387.8s,TotalBoxes:50,S:4,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4620,Time:390.3s,TotalBoxes:50,S:4,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4650,Time:392.8s,TotalBoxes:50,S:4,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4680,Time:395.3s,TotalBoxes:50,S:4,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4710,Time:397.8s,TotalBoxes:50,S:4,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4740,Time:400.3s,TotalBoxes:50,S:4,M:44,L:0
00000000777000000.mp4,Segment1,Frame:4770,Time:402.8s,TotalBoxes:51,S:4,M:45,L:0
00000000777000000.mp4,Segment1,Frame:4800,Time:405.3s,TotalBoxes:51,S:4,M:45,L:0
00000000777000000.mp4,Segment1,Frame:4830,Time:407.9s,TotalBoxes:51,S:4,M:45,L:0
00000000777000000.mp4,Segment1,Frame:4860,Time:410.4s,TotalBoxes:51,S:4,M:45,L:0
00000000777000000.mp4,Segment1,Frame:4890,Time:412.9s,TotalBoxes:51,S:4,M:45,L:0
00000000777000000.mp4,Segment1,Frame:4920,Time:415.5s,TotalBoxes:51,S:4,M:45,L:0
00000000777000000.mp4,Segment1,Frame:4950,Time:418.0s,TotalBoxes:52,S:4,M:46,L:0
00000000777000000.mp4,Segment1,Frame:4980,Time:420.5s,TotalBoxes:52,S:4,M:46,L:0
00000000777000000.mp4,Segment1,Frame:5010,Time:423.1s,TotalBoxes:52,S:4,M:46,L:0
00000000777000000.mp4,Segment1,Frame:5040,Time:425.6s,TotalBoxes:53,S:4,M:47,L:0
00000000777000000.mp4,Segment1,Frame:5070,Time:428.1s,TotalBoxes:54,S:4,M:48,L:0
00000000777000000.mp4,Segment1,Frame:5100,Time:430.7s,TotalBoxes:54,S:4,M:48,L:0
00000000777000000.mp4,Segment1,Frame:5130,Time:433.2s,TotalBoxes:54,S:4,M:48,L:0
00000000777000000.mp4,Segment1,Frame:5160,Time:435.8s,TotalBoxes:55,S:4,M:49,L:0
00000000777000000.mp4,Segment1,Frame:5190,Time:438.3s,TotalBoxes:55,S:4,M:49,L:0
00000000777000000.mp4,Segment1,Frame:5220,Time:440.9s,TotalBoxes:55,S:4,M:49,L:0
00000000777000000.mp4,Segment1,Frame:5250,Time:443.4s,TotalBoxes:56,S:4,M:50,L:0
00000000777000000.mp4,Segment1,Frame:5280,Time:445.9s,TotalBoxes:58,S:5,M:51,L:0
00000000777000000.mp4,Segment1,Frame:5310,Time:448.4s,TotalBoxes:58,S:5,M:51,L:0
00000000777000000.mp4,Segment1,Frame:5340,Time:451.0s,TotalBoxes:58,S:5,M:51,L:0
00000000777000000.mp4,Segment1,Frame:5370,Time:453.5s,TotalBoxes:59,S:6,M:51,L:0
00000000777000000.mp4,Segment1,Frame:5400,Time:456.0s,TotalBoxes:59,S:6,M:51,L:0
00000000777000000.mp4,Segment1,Frame:5430,Time:458.5s,TotalBoxes:59,S:6,M:51,L:0
00000000777000000.mp4,Segment1,Frame:5460,Time:461.1s,TotalBoxes:60,S:6,M:52,L:0
00000000777000000.mp4,Segment1,Frame:5490,Time:463.6s,TotalBoxes:61,S:6,M:53,L:0
00000000777000000.mp4,Segment1,Frame:5520,Time:466.1s,TotalBoxes:61,S:6,M:53,L:0
00000000777000000.mp4,Segment1,Frame:5550,Time:468.6s,TotalBoxes:61,S:6,M:53,L:0
00000000777000000.mp4,Segment1,Frame:5580,Time:471.2s,TotalBoxes:61,S:6,M:53,L:0
00000000777000000.mp4,Segment1,Frame:5610,Time:473.7s,TotalBoxes:61,S:6,M:53,L:0
00000000777000000.mp4,Segment1,Frame:5640,Time:476.2s,TotalBoxes:61,S:6,M:53,L:0
00000000777000000.mp4,Segment1,Frame:5670,Time:478.8s,TotalBoxes:62,S:6,M:54,L:0
00000000777000000.mp4,Segment1,Frame:5700,Time:481.3s,TotalBoxes:63,S:6,M:55,L:0
00000000777000000.mp4,Segment1,Frame:5730,Time:483.9s,TotalBoxes:64,S:6,M:56,L:0
00000000777000000.mp4,Segment1,Frame:5760,Time:486.4s,TotalBoxes:64,S:6,M:56,L:0
00000000777000000.mp4,Segment1,Frame:5790,Time:488.9s,TotalBoxes:64,S:6,M:56,L:0
00000000777000000.mp4,Segment1,Frame:5820,Time:491.4s,TotalBoxes:64,S:6,M:56,L:0
00000000777000000.mp4,Segment1,Frame:5850,Time:494.0s,TotalBoxes:65,S:7,M:56,L:0
00000000777000000.mp4,Segment1,Frame:5880,Time:496.5s,TotalBoxes:65,S:7,M:56,L:0
00000000777000000.mp4,Segment1,Frame:5910,Time:499.0s,TotalBoxes:66,S:7,M:57,L:0
00000000777000000.mp4,Segment1,Frame:5940,Time:501.6s,TotalBoxes:66,S:7,M:57,L:0
00000000777000000.mp4,Segment1,Frame:5970,Time:504.1s,TotalBoxes:66,S:7,M:57,L:0
00000000777000000.mp4,Segment1,Frame:6000,Time:506.6s,TotalBoxes:66,S:7,M:57,L:0
00000000777000000.mp4,Segment1,Frame:6030,Time:509.1s,TotalBoxes:66,S:7,M:57,L:0
00000000777000000.mp4,Segment1,Frame:6060,Time:511.6s,TotalBoxes:66,S:7,M:57,L:0
00000000777000000.mp4,Segment1,Frame:6090,Time:514.2s,TotalBoxes:67,S:7,M:58,L:0
00000000777000000.mp4,Segment1,Frame:6120,Time:516.7s,TotalBoxes:67,S:7,M:58,L:0
00000000777000000.mp4,Segment1,Frame:6150,Time:519.2s,TotalBoxes:67,S:7,M:58,L:0
00000000777000000.mp4,Segment1,Frame:6180,Time:521.8s,TotalBoxes:67,S:7,M:58,L:0
00000000777000000.mp4,Segment1,Frame:6210,Time:524.3s,TotalBoxes:68,S:7,M:59,L:0
00000000777000000.mp4,Segment1,Frame:6240,Time:526.9s,TotalBoxes:68,S:7,M:59,L:0
00000000777000000.mp4,Segment1,Frame:6270,Time:529.4s,TotalBoxes:69,S:7,M:60,L:0
00000000777000000.mp4,Segment1,Frame:6300,Time:531.9s,TotalBoxes:70,S:7,M:61,L:0
00000000777000000.mp4,Segment1,Frame:6330,Time:534.5s,TotalBoxes:70,S:7,M:61,L:0
00000000777000000.mp4,Segment1,Frame:6360,Time:537.0s,TotalBoxes:70,S:7,M:61,L:0
00000000777000000.mp4,Segment1,Frame:6390,Time:539.5s,TotalBoxes:70,S:7,M:61,L:0
00000000777000000.mp4,Segment1,Frame:6420,Time:542.1s,TotalBoxes:71,S:7,M:62,L:0
00000000777000000.mp4,Segment1,Frame:6450,Time:544.6s,TotalBoxes:71,S:7,M:62,L:0
00000000777000000.mp4,Segment1,Frame:6480,Time:547.1s,TotalBoxes:71,S:7,M:62,L:0
00000000777000000.mp4,Segment1,Frame:6510,Time:549.6s,TotalBoxes:71,S:7,M:62,L:0
00000000777000000.mp4,Segment1,Frame:6540,Time:552.2s,TotalBoxes:71,S:7,M:62,L:0
00000000777000000.mp4,Segment1,Frame:6570,Time:554.7s,TotalBoxes:72,S:7,M:63,L:0
00000000777000000.mp4,Segment1,Frame:6600,Time:557.2s,TotalBoxes:72,S:7,M:63,L:0
00000000777000000.mp4,Segment1,Frame:6630,Time:559.8s,TotalBoxes:74,S:7,M:65,L:0
00000000777000000.mp4,Segment1,Frame:6660,Time:562.3s,TotalBoxes:74,S:7,M:65,L:0
00000000777000000.mp4,Segment1,Frame:6690,Time:564.9s,TotalBoxes:74,S:7,M:65,L:0
00000000777000000.mp4,Segment1,Frame:6720,Time:567.4s,TotalBoxes:76,S:7,M:67,L:0
00000000777000000.mp4,Segment1,Frame:6750,Time:569.9s,TotalBoxes:76,S:7,M:67,L:0
00000000777000000.mp4,Segment1,Frame:6780,Time:572.4s,TotalBoxes:76,S:7,M:67,L:0
00000000777000000.mp4,Segment1,Frame:6810,Time:574.9s,TotalBoxes:76,S:7,M:67,L:0
00000000777000000.mp4,Segment1,Frame:6840,Time:577.5s,TotalBoxes:77,S:7,M:68,L:0
00000000777000000.mp4,Segment1,Frame:6870,Time:580.0s,TotalBoxes:77,S:7,M:68,L:0
00000000777000000.mp4,Segment1,Frame:6900,Time:582.5s,TotalBoxes:77,S:7,M:68,L:0
00000000777000000.mp4,Segment1,Frame:6930,Time:585.0s,TotalBoxes:78,S:7,M:69,L:0
00000000777000000.mp4,Segment1,Frame:6960,Time:587.5s,TotalBoxes:79,S:7,M:70,L:0
00000000777000000.mp4,Segment1,Frame:6990,Time:590.1s,TotalBoxes:79,S:7,M:70,L:0
00000000777000000.mp4,Segment1,Frame:7020,Time:592.6s,TotalBoxes:79,S:7,M:70,L:0
00000000777000000.mp4,Segment1,Frame:7050,Time:595.1s,TotalBoxes:79,S:7,M:70,L:0
00000000777000000.mp4,Segment1,Frame:7080,Time:597.6s,TotalBoxes:80,S:7,M:71,L:0
00000000777000000.mp4,Segment1,Frame:7110,Time:600.2s,TotalBoxes:80,S:7,M:71,L:0
